frame_number,monkey_ID,monkey_name,monkey_id_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_confidence,nose_x,nose_y,nose_confidence,left_eye_x,left_eye_y,left_eye_confidence,right_eye_x,right_eye_y,right_eye_confidence,left_ear_x,left_ear_y,left_ear_confidence,right_ear_x,right_ear_y,right_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
3,1,Jok,0.6399,994.0,142.1,1091.5,346.6,0.6881,1048.59,235.63,0.0000,1062.13,221.69,0.0000,1056.16,214.12,0.0000,1054.56,163.91,0.0000,1040.62,166.30,0.0000,1064.12,227.27,0.0000,1020.30,202.96,0.0000,1064.52,275.88,0.0000,986.83,276.27,0.0000,1049.38,345.60,0.0000,1003.96,345.60,0.0000,1035.84,345.60,0.0000,940.61,345.60,0.0000,1036.63,276.27,0.0000,1003.16,270.30,0.0000,1029.06,345.60,0.0000,994.00,345.60,0.0000
4,1,Jok,0.6350,1005.8,150.4,1086.6,342.9,0.8837,1051.12,235.50,0.0000,1066.12,222.38,0.0000,1059.00,214.88,0.0000,1048.50,167.25,0.0000,1043.62,171.00,0.0000,1058.62,235.88,0.0000,1023.38,202.88,0.0000,1063.12,275.62,0.0000,985.12,263.25,0.0000,1051.88,245.62,0.0000,1051.88,252.00,0.0000,1038.75,341.62,0.0000,949.50,341.62,0.0000,1039.50,271.12,0.0000,1008.75,263.25,0.0000,1023.00,341.62,0.0000,999.75,341.62,0.0000
4,1,Jok,0.6373,901.3,59.5,1069.0,383.6,0.6813,1021.87,169.74,0.0000,964.91,80.52,0.0000,1015.54,116.59,0.0000,822.53,59.00,0.0000,1013.01,105.83,0.0000,933.91,128.61,0.0000,993.39,142.53,0.0000,938.97,223.53,0.0000,1014.27,243.15,0.0000,1026.93,170.38,0.0000,1036.42,191.89,0.0000,822.53,334.27,0.0000,956.05,346.93,0.0000,822.53,272.26,0.0000,1006.68,272.26,0.0000,822.53,382.37,0.0000,822.53,59.00,0.0000
5,1,Jok,0.6309,1010.3,152.4,1084.3,342.7,0.9252,952.11,152.00,0.0000,1064.92,225.85,0.0000,952.11,152.00,0.0000,1050.08,164.62,0.0000,1045.25,167.96,0.0000,1060.10,231.41,0.0000,1024.84,204.32,0.0000,1026.70,271.12,0.0000,1005.55,271.49,0.0000,1044.88,246.63,0.0000,1049.34,246.63,0.0000,1040.43,341.63,0.0000,1040.43,341.63,0.0000,1041.17,283.37,0.0000,1010.74,263.70,0.0000,1021.88,341.63,0.0000,1001.46,341.63,0.0000
5,1,Jok,0.6290,883.8,56.1,1056.0,403.3,0.8205,1026.00,117.67,0.0000,948.74,84.46,0.0000,1017.19,106.15,0.0000,796.25,56.00,0.0000,1003.64,97.34,0.0000,796.25,56.00,0.0000,989.40,140.72,0.0000,903.33,201.04,0.0000,796.25,56.00,0.0000,1025.32,175.28,0.0000,1024.65,181.38,0.0000,873.51,331.84,0.0000,946.71,352.85,0.0000,982.63,260.00,0.0000,796.25,56.00,0.0000,981.95,352.17,0.0000,796.25,56.00,0.0000
6,1,Jok,0.6237,1011.4,153.0,1084.5,343.4,0.9399,952.06,152.00,0.0000,1063.60,224.74,0.0000,952.06,152.00,0.0000,1050.54,165.43,0.0000,952.06,152.00,0.0000,1060.24,231.83,0.0000,1022.94,204.60,0.0000,1023.68,267.64,0.0000,1000.93,264.66,0.0000,1041.22,342.63,0.0000,1049.80,247.13,0.0000,1040.84,342.63,0.0000,1030.40,342.63,0.0000,1041.59,288.91,0.0000,1010.63,264.29,0.0000,952.06,342.63,0.0000,1001.67,342.63,0.0000
6,1,Jok,0.6167,875.0,52.1,1050.9,409.1,0.8748,1016.54,112.66,0.0000,941.94,89.65,0.0000,1016.54,103.60,0.0000,784.36,52.00,0.0000,1003.99,100.11,0.0000,784.36,52.00,0.0000,991.44,139.16,0.0000,895.22,200.52,0.0000,784.36,52.00,0.0000,1029.10,174.72,0.0000,1024.21,185.88,0.0000,871.51,335.79,0.0000,951.70,351.13,0.0000,936.36,261.88,0.0000,784.36,52.00,0.0000,901.50,346.25,0.0000,784.36,52.00,0.0000
7,1,Jok,0.6150,1011.7,152.2,1084.2,343.2,0.9443,952.06,152.00,0.0000,1062.11,224.37,0.0000,952.06,152.00,0.0000,1059.50,165.80,0.0000,952.06,152.00,0.0000,1049.42,231.83,0.0000,1021.07,204.60,0.0000,1016.60,266.90,0.0000,1000.93,264.66,0.0000,1037.11,342.63,0.0000,1007.27,342.63,0.0000,1041.22,342.63,0.0000,1041.22,342.63,0.0000,1035.25,288.91,0.0000,1010.63,264.29,0.0000,1017.71,342.63,0.0000,1001.67,342.63,0.0000
7,1,Jok,0.6144,870.7,51.8,1046.3,411.4,0.8955,1007.81,111.47,0.0000,936.80,89.67,0.0000,1012.73,103.03,0.0000,778.59,51.00,0.0000,1000.08,100.92,0.0000,778.59,51.00,0.0000,988.83,138.89,0.0000,907.27,200.77,0.0000,778.59,51.00,0.0000,1030.31,174.75,0.0000,1024.69,180.38,0.0000,866.48,321.70,0.0000,947.34,348.42,0.0000,940.31,261.94,0.0000,778.59,51.00,0.0000,1004.30,337.88,0.0000,778.59,51.00,0.0000
8,1,Jok,0.6122,1014.0,148.7,1083.9,343.8,0.9438,950.78,148.00,0.0000,1062.75,220.36,0.0000,950.78,148.00,0.0000,1051.32,164.00,0.0000,1045.23,168.19,0.0000,1053.99,229.50,0.0000,1026.57,209.32,0.0000,1023.90,262.64,0.0000,1010.57,263.02,0.0000,1041.80,245.12,0.0000,1046.37,242.07,0.0000,1054.37,314.82,0.0000,1042.18,314.82,0.0000,1035.71,295.01,0.0000,1037.99,287.78,0.0000,1017.81,342.62,0.0000,1011.71,342.62,0.0000
8,1,Jok,0.5850,869.2,52.7,1044.1,411.1,0.9139,1009.94,115.81,0.0000,932.81,90.56,0.0000,1010.64,103.19,0.0000,776.45,52.00,0.0000,776.45,52.00,0.0000,776.45,52.00,0.0000,982.59,131.93,0.0000,905.46,201.35,0.0000,776.45,52.00,0.0000,1022.56,158.58,0.0000,1021.86,175.41,0.0000,864.09,321.95,0.0000,944.73,348.60,0.0000,929.30,262.35,0.0000,776.45,52.00,0.0000,1004.33,337.38,0.0000,776.45,52.00,0.0000
